Category,libraryId,Author,Title,Editor / translator,Publisher,Publication year,Edition,ISBN,Language,Reference URL
Religion,homer-03,Homer,Homeric Hymns (Penguin Classics),"Cashford, Jules (translator); Richardson, Nicholas (introduction and notes)",Penguin Classics,2003,First Edition,9780140437829,en,https://www.penguin.co.uk/books/34509/the-homeric-hymns-by-ed-jules-cashford/9780140437829
Religion,iamblichus-01,Iamblichus,"On the Mysteries of the Egyptians, Chaldeans, and Assyrians: The Complete Text","Taylor, Thomas",Lulu.com,2019,,9780359737758,en,https://www.amazon.com/dp/0359737757
Religion,jacobsen-01,"Jacobsen, Thorkild",The Treasures of Darkness: A History of Mesopotamian Religion,,,,,,,
Religion,matt-01,"Matt, Daniel Chanan",The Essential Kabbalah: The Heart of Jewish Mysticism,,,,,,,
Religion,mukerji-01,"Mukerji, Swami",The Doctrine and Practice of Yoga,,,,,,,
Religion,neihardt-01,"Neihardt, John G.",Black Elk Speaks: The Complete Edition,,,,,,,
Religion,stiles-01,"Stiles, Mukunda",Yoga Sutras of Patanjali,,,,,,,
Religion,prabhavanada-01,Swami Prabhavanada,The Upanishads: Breath from the Eternal,,,,,,,
Religion,vishnu-devananda-01,Swami Vishnu-devananda,The Complete Illustrated Book of Yoga,,,,,,,
Religion,uzdavinys-03,"Uzdavinys, Algis",Philosophy as a Rite of Rebirth: From Ancient Egypt to Neoplatonism by Algis Uzdavinys,,,,,,,
Religion,waddell-07,"Waddell, L. Austine",Sorcery And Necromancy Of Lamaism,,,,,,,
Religion,woodroffe-01,"Woodroffe, Sir John",Sakti and Sakta,,,,,,,
Religion,press-01,,"The Complete Apocrypha: 2018 Edition with Enoch, Jasher, and Jubilees","Press, Covenant",,,,,,
Religion,hausman-01,,The Kebra Nagast,"Hausman, Gerald",,,,,,
Religion,meyer-01,,The Nag Hammadi Scriptures: The Revised and Updated Translation of Sacred Gnostic Texts Complete in One Volume,Marvin W. Meyer,,,,,,
Religion,larrington-01,,The Poetic Edda (Oxford World's Classics),"Larrington, Carolyne",,,,,,
Religion,brown-01,,The Sacred Pipe: Black Elk’s Account of the Seven Rites of the Oglala Sioux (Volume 36) (The Civilization of the American Indian Series),"Brown, Jospeh Epps",,,,,,
Science,lilly-01,"Dr. Lilly, John C.",Programming and Metaprogramming in the Human Biocomputer: Theory and Experiments,,,,,,,
Science,bortoff-01,"Bortoff, Henri",The Wholeness of Nature,,,,,,,
Science,davidson-01,"Davidson, Norman",Sky Phenomena,,,,,,,
Science,goethe-04,"Goethe, Johann Wolfgang von",Theory of Colours (The MIT Press),,,,,,,
Science,hogben-01,"Hogben, Lancelot",Mathematics for the Million,,,,,,,
Science,hogben-02,"Hogben, Lancelot",Science for the Citizen,,,,,,,
Science,holdrege-01,"Holdrege, Craig",Beyond Biotechnology,,,,,,,
Science,lehrs-01,"Lehrs, Ernst",Man or Matter,,,,,,,
Science,lundy-01,"Lundy, Miranda","Quadrivium: The Four Classical Liberal Arts of Number, Geometry, Music, & Cosmology",,,,,,,
Science,mccloskey-01,"McCloskey, Deirdre N. and Ziliak, Stephen T.","The Cult of Statistical Significance: How the Standard Error Costs Us Jobs, Justice, and Lives (Economics, Cognition, And Society)",,,,,,,
Science,prigogine-01,"Prigogine, Ilya",Order out of Chaos,,,,,,,
Science,sidgwick-01,"Sidgwick, J.B.",Observational Astronomy,,,,,,,
Textbook,jenny-01,,First Year Latin,"Jenny, Charles Jr.",,,,,,
Textbook,boscovich-01,"Boscovich, Roger Joseph",A Theory Of Natural Philosophy,,,,,,,
